AND - AGENT FILE FINAL [2013] [OPUS 320K]

DISC 1
|--------|----------------------------------------------------------------|----------|---------|
| TRACK  |                            TITLE                               | DURATION |   SIZE  |
|--------|----------------------------------------------------------------|----------|---------|
|   01   | MURDERS                                                        |   50     |  01 MB  |
|   02   | Jack the Ripper                                                |   4:13   |  09 MB  |
|   03   | BLACK OUT                                                      |   4:49   |  10 MB  |
|   04   | GANG 5 [five]                                                  |   3:42   |  08 MB  |
|   05   | MAD DOG                                                        |   4:08   |  09 MB  |
|   06   | Kyoueikai                                                      |   3:11   |  06 MB  |
|   07   | Meiseikai                                                      |   5:23   |  11 MB  |
|   08   | CODE [B]                                                       |   3:58   |  08 MB  |
|   09   | Shigure                                                        |   3:56   |  08 MB  |
|   10   | Ayame                                                          |   4:10   |  09 MB  |
|   11   | Gi                                                             |   3:49   |  08 MB  |
|   12   | Kumo Mushi -2010-                                              |   5:38   |  12 MB  |
|   13   | Rengoku                                                        |   3:29   |  07 MB  |
|   14   | Not Found                                                      |   4:41   |  10 MB  |
|   15   | Kyou                                                           |   2:42   |  05 MB  |
|--------|----------------------------------------------------------------|----------|---------|

DISC 2
|--------|----------------------------------------------------------------|----------|---------|
| TRACK  |                            TITLE                               | DURATION |   SIZE  |
|--------|----------------------------------------------------------------|----------|---------|
|   01   | bluff                                                          |   3:43   |  08 MB  |
|   02   | GUT                                                            |   3:24   |  07 MB  |
|   03   | Anemone                                                        |   4:20   |  09 MB  |
|   04   | NERVE                                                          |   3:50   |  08 MB  |
|   05   | KoiSURU@GIRL                                                   |   3:14   |  07 MB  |
|   06   | Ura Joutou Sengen                                              |   2:56   |  06 MB  |
|   07   | BLINDNESS                                                      |   3:50   |  08 MB  |
|   08   | TRIGGER                                                        |   4:16   |  09 MB  |
|   09   | dope                                                           |   4:16   |  09 MB  |
|   10   | BLAZE                                                          |   3:37   |  07 MB  |
|   11   | Liberate                                                       |   4:38   |  10 MB  |
|   12   | Voices                                                         |   4:25   |  09 MB  |
|   13   | Muyuu no Kago                                                  |   6:06   |  13 MB  |
|   14   | Daybreak                                                       |   4:39   |  10 MB  |
|   15   | Suicidal dance                                                 |   4:19   |  09 MB  |
|   16   | Diabolus                                                       |   4:27   |  10 MB  |
|--------|----------------------------------------------------------------|----------|---------|
