Complete name               : Kingdom.of.Heaven.2005.Director's.Cut.1080p.BluRay.DTS.x264-DON.mkv
Format                      : Matroska
Format version              : Version 2
File size                   : 21.2 GiB
Duration                    : 3 h 9 min
Overall bit rate            : 16.0 Mb/s
Frame rate                  : 23.976 FPS
Movie name                  : Kingdom of Heaven (2005) - Director's Cut
Encoded date                : 2011-01-16 08:15:17 UTC
Writing application         : mkvmerge v3.4.0 ('Rapunzel') сборка от May 15 2010 09:38:20
Writing library             : libebml v0.8.0 + libmatroska v0.9.0

Video
ID                          : 1
Format                      : AVC
Format/Info                 : Advanced Video Codec
Format profile              : High@L4.1
Format settings             : CABAC / 5 Ref Frames
Format settings, CABAC      : Yes
Format settings, Reference  : 5 frames
Codec ID                    : V_MPEG4/ISO/AVC
Duration                    : 3 h 9 min
Bit rate                    : 10.6 Mb/s
Width                       : 1 920 pixels
Height                      : 818 pixels
Display aspect ratio        : 2.35:1
Frame rate mode             : Constant
Frame rate                  : 23.976 (24000/1001) FPS
Color space                 : YUV
Chroma subsampling          : 4:2:0
Bit depth                   : 8 bits
Scan type                   : Progressive
Bits/(Pixel*Frame)          : 0.280
Stream size                 : 14.0 GiB (66%)
Writing library             : x264 core 112 r1834 a51816a
Encoding settings           : cabac=1 / ref=5 / deblock=1:-3:-3 / analyse=0x3:0x133 / me=umh / subme=9 / psy=1 / psy_rd=1.05:0.00 / mixed_ref=1 / me_range=32 / chroma_me=1 / trellis=2 / 8x8dct=1 / cqm=0 / deadzone=21,11 / fast_pskip=0 / chroma_qp_offset=-2 / threads=6 / sliced_threads=0 / nr=0 / decimate=0 / interlaced=0 / constrained_intra=0 / bframes=6 / b_pyramid=2 / b_adapt=2 / b_bias=0 / direct=3 / weightb=1 / open_gop=0 / weightp=2 / keyint=250 / keyint_min=23 / scenecut=40 / intra_refresh=0 / rc_lookahead=60 / rc=crf / mbtree=1 / crf=18.0 / qcomp=0.75 / qpmin=0 / qpmax=51 / qpstep=4 / vbv_maxrate=50000 / vbv_bufsize=62500 / crf_max=0.0 / ip_ratio=1.40 / aq=1:0.80 / nal_hrd=none
Language                    : English
Default                     : No
Forced                      : No

Audio #1
ID                          : 2
Format                      : AC-3
Format/Info                 : Audio Coding 3
Commercial name             : Dolby Digital
Codec ID                    : A_AC3
Duration                    : 3 h 9 min
Bit rate mode               : Constant
Bit rate                    : 448 kb/s
Channel(s)                  : 6 channels
Channel layout              : L R C LFE Ls Rs
Sampling rate               : 48.0 kHz
Frame rate                  : 31.250 FPS (1536 SPF)
Compression mode            : Lossy
Stream size                 : 607 MiB (3%)
Title                       : DD 5.1 @ 448 kbps (DUB+MVO)
Language                    : Russian
Service kind                : Complete Main
Default                     : Yes
Forced                      : No

Audio #2
ID                          : 3
Format                      : DTS
Format/Info                 : Digital Theater Systems
Codec ID                    : A_DTS
Duration                    : 3 h 9 min
Bit rate mode               : Constant
Bit rate                    : 1 509 kb/s
Channel(s)                  : 6 channels
Channel layout              : C L R Ls Rs LFE
Sampling rate               : 48.0 kHz
Frame rate                  : 93.750 FPS (512 SPF)
Bit depth                   : 24 bits
Compression mode            : Lossy
Stream size                 : 2.00 GiB (9%)
Title                       : DTS 5.1 @ 1509 kbps (Многоголосый, Киномания)
Language                    : Russian
Default                     : No
Forced                      : No

Audio #3
ID                          : 4
Format                      : DTS
Format/Info                 : Digital Theater Systems
Codec ID                    : A_DTS
Duration                    : 3 h 9 min
Bit rate mode               : Constant
Bit rate                    : 1 509 kb/s
Channel(s)                  : 6 channels
Channel layout              : C L R Ls Rs LFE
Sampling rate               : 48.0 kHz
Frame rate                  : 93.750 FPS (512 SPF)
Bit depth                   : 24 bits
Compression mode            : Lossy
Stream size                 : 2.00 GiB (9%)
Title                       : DTS 5.1 @ 1509 kbps  (Одноголосый, Королёв)
Language                    : Russian
Default                     : No
Forced                      : No

Audio #4
ID                          : 5
Format                      : AC-3
Format/Info                 : Audio Coding 3
Commercial name             : Dolby Digital
Codec ID                    : A_AC3
Duration                    : 3 h 9 min
Bit rate mode               : Constant
Bit rate                    : 192 kb/s
Channel(s)                  : 2 channels
Channel layout              : L R
Sampling rate               : 48.0 kHz
Frame rate                  : 31.250 FPS (1536 SPF)
Compression mode            : Lossy
Stream size                 : 260 MiB (1%)
Title                       : DD 2.0 @ 192 kbps (Одноголосый, Живов)
Language                    : Russian
Service kind                : Complete Main
Default                     : No
Forced                      : No

Audio #5
ID                          : 6
Format                      : DTS
Format/Info                 : Digital Theater Systems
Codec ID                    : A_DTS
Duration                    : 3 h 9 min
Bit rate mode               : Constant
Bit rate                    : 1 509 kb/s
Channel(s)                  : 6 channels
Channel layout              : C L R Ls Rs LFE
Sampling rate               : 48.0 kHz
Frame rate                  : 93.750 FPS (512 SPF)
Bit depth                   : 24 bits
Compression mode            : Lossy
Stream size                 : 2.00 GiB (9%)
Title                       : DTS 5.1 @ 1509 kbps
Language                    : English
Default                     : No
Forced                      : No

Text #1
ID                          : 7
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Russian
Default                     : No
Forced                      : No

Text #2
ID                          : 8
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Russian
Default                     : No
Forced                      : No

Text #3
ID                          : 9
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Bulgarian
Default                     : No
Forced                      : No

Text #4
ID                          : 10
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Croatian
Default                     : No
Forced                      : No

Text #5
ID                          : 11
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Czech
Default                     : No
Forced                      : No

Text #6
ID                          : 12
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Danish
Default                     : No
Forced                      : No

Text #7
ID                          : 13
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Dutch
Default                     : No
Forced                      : No

Text #8
ID                          : 14
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : English
Default                     : No
Forced                      : No

Text #9
ID                          : 15
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Finnish
Default                     : No
Forced                      : No

Text #10
ID                          : 16
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : French
Default                     : No
Forced                      : No

Text #11
ID                          : 17
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : German
Default                     : No
Forced                      : No

Text #12
ID                          : 18
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Greek
Default                     : No
Forced                      : No

Text #13
ID                          : 19
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Hungarian
Default                     : No
Forced                      : No

Text #14
ID                          : 20
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Norwegian
Default                     : No
Forced                      : No

Text #15
ID                          : 21
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Polish
Default                     : No
Forced                      : No

Text #16
ID                          : 22
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Title                       : Brazilian
Language                    : Portuguese
Default                     : No
Forced                      : No

Text #17
ID                          : 23
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Title                       : Iberian
Language                    : Portuguese
Default                     : No
Forced                      : No

Text #18
ID                          : 24
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Romanian
Default                     : No
Forced                      : No

Text #19
ID                          : 25
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Serbian
Default                     : No
Forced                      : No

Text #20
ID                          : 26
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Slovenian
Default                     : No
Forced                      : No

Text #21
ID                          : 27
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Spanish
Default                     : No
Forced                      : No

Text #22
ID                          : 28
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Swedish
Default                     : No
Forced                      : No

Text #23
ID                          : 29
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Turkish
Default                     : No
Forced                      : No

Text #24
ID                          : 30
Format                      : UTF-8
Codec ID                    : S_TEXT/UTF8
Codec ID/Info               : UTF-8 Plain Text
Language                    : Vietnamese
Default                     : No
Forced                      : No

Menu
00:00:00.000                : en:Crossroads
